Census Block,Month,Avg. Temperature,Type of Robbery,Probability
8391001034,6,71,VEHICULAR HIJACKING,0
8391001037,6,71,AGGRAVATED,0
8391001037,6,71,ARMED,0.028571429
8391001037,6,71,ATTEMPT,0.971428571
8391001037,6,71,STRONGARM - NO WEAPON,0
8391001037,6,71,VEHICULAR HIJACKING,0
8391002046,6,71,AGGRAVATED,0
8391002046,6,71,ARMED,0.028571429
8391002046,6,71,ATTEMPT,0.971428571
8391002046,6,71,STRONGARM - NO WEAPON,0
8391002046,6,71,VEHICULAR HIJACKING,0
3204001035,6,71,AGGRAVATED,0
3204001035,6,71,ARMED,0.028571429
3204001035,6,71,ATTEMPT,0.971428571
3204001035,6,71,STRONGARM - NO WEAPON,0
3204001035,6,71,VEHICULAR HIJACKING,0
3201002026,6,71,AGGRAVATED,0
3201002026,6,71,ARMED,0.028571429
3201002026,6,71,ATTEMPT,0.971428571
3201002026,6,71,STRONGARM - NO WEAPON,0
3201002026,6,71,VEHICULAR HIJACKING,0
3201002023,6,71,AGGRAVATED,0
3201002023,6,71,ARMED,0.028571429
3201002023,6,71,ATTEMPT,0.971428571
3201002023,6,71,STRONGARM - NO WEAPON,0
3201002023,6,71,VEHICULAR HIJACKING,0
3201003009,6,71,AGGRAVATED,0
3201003009,6,71,ARMED,0.028571429
3201003009,6,71,ATTEMPT,0.971428571
3201003009,6,71,STRONGARM - NO WEAPON,0
3201003009,6,71,VEHICULAR HIJACKING,0
3206001010,6,71,AGGRAVATED,0
3206001010,6,71,ARMED,0.028571429
3206001010,6,71,ATTEMPT,0.971428571
3206001010,6,71,STRONGARM - NO WEAPON,0
3206001010,6,71,VEHICULAR HIJACKING,0
3204001020,6,71,AGGRAVATED,0
3204001020,6,71,ARMED,0.028571429
3204001020,6,71,ATTEMPT,0.971428571
3204001020,6,71,STRONGARM - NO WEAPON,0
3204001020,6,71,VEHICULAR HIJACKING,0
3204001043,6,71,AGGRAVATED,0
3204001043,6,71,ARMED,0.028571429
3204001043,6,71,ATTEMPT,0.971428571
3204001043,6,71,STRONGARM - NO WEAPON,0
3204001043,6,71,VEHICULAR HIJACKING,0
,,,,0
,,,,0.028571429
,,,,0.971428571
,,,,0
,,,,0
,,,,0
,,,,0.028571429
,,,,0.971428571
,,,,0
,,,,0
,,,,0
,,,,0.028571429
,,,,0.971428571
,,,,0
,,,,0
,,,,0
,,,,0.028571429
,,,,0.971428571
,,,,0
,,,,0
,,,,0
,,,,0.028571429
,,,,0.971428571
,,,,0
,,,,0
,,,,0
,,,,0.028571429
,,,,0.971428571
,,,,0
,,,,0
,,,,0
,,,,0.028571429
,,,,0.971428571
,,,,0
,,,,0
,,,,0
,,,,0.028571429
,,,,0.971428571
,,,,0
,,,,0
,,,,0
,,,,0.028571429
,,,,0.971428571
,,,,0
,,,,0
,,,,0
,,,,0.028571429
,,,,0.971428571
,,,,0
,,,,0
,,,,0
,,,,0.028571429
,,,,0.971428571
,,,,0
,,,,0
,,,,0
,,,,0.028571429
,,,,0.971428571
,,,,0
,,,,0
,,,,0
,,,,0.028571429
,,,,0.971428571
,,,,0
,,,,0
,,,,0
,,,,0.028571429
